iteration, function, norm_grad_Lagr
1, 1.7769e+04, 4.4576e+03
2, 1.6785e+04, 3.6377e+03
3, 1.5031e+04, 2.3151e+03
4, 1.2298e+04, 9.7741e+02
5, 1.0829e+04, 4.1422e+02
6, 1.0512e+04, 1.7668e+02
7, 1.0384e+04, 7.9805e+01
8, 1.0333e+04, 3.6903e+01
9, 1.0151e+04, 2.4944e+01
10, 1.0110e+04, 2.4944e+01
11, 1.0110e+04, 2.4944e+01
12, 1.0110e+04, 2.4944e+01
13, 1.0110e+04, 2.4944e+01
14, 1.0110e+04, 2.4944e+01
15, 1.0110e+04, 3.7170e+01
16, 9.6489e+03, 4.6277e+01
17, 8.7343e+03, 1.4416e+02
18, 6.5341e+03, 2.7136e+02
19, 5.4713e+03, 7.9722e+02
20, 5.1067e+03, 5.3994e+02
21, 3.6109e+03, 5.6307e+02
22, 3.0298e+03, 5.1517e+02
23, 2.3910e+03, 5.0846e+02
24, 2.1312e+03, 5.0846e+02
25, 2.1312e+03, 2.4632e+02
